Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,375 sq.m.,3,5,2,,Partial Renovation,2500 sq.m.,Tavush › Ijevan,"$45,000",USD,"House 3-storey stone building '1st floor: Parking lot throughout the houseThe entrance door from the 2nd floor has 1 bedroom, a large living room, a kitchen, a corridor, a bathroom.On the 3rd floor, 2 bedrooms, 1 bedroom has just been added, which is semi-renovated, there is an open balcony.The house is renovated, residential, gasified, there is drinking and irrigation water, it is electrified. The roof has just been changed, the windows are European.There are more than 100 fruit trees in the garden: Fig, pomegranate, caraway, kiwi, grape, olive, pear, apple, plum, apricot, walnut, hazelnut, peach...In the outskirts of the park there is a barn 50 m, a panel building.It is close to the Noyemberyan-Berd crossroads, it is located on the Makaravank road. It is very convenient for living, for carrying out tourist activities. Call real buyers.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/14237224,
House,Monolith,150 sq.m.,2,4,1,,No Renovation,800 sq.m.,"Kamo Street, Dilijan station","$110,000",USD,"Վաճառվում է սեփական տուն Դիլիջանի գլխավոր մայրուղու վրա (առաջին գիծ) : Գտնվում է Դիլիջանի գլխավոր ճանապարհի (3 հարկ) և «Լեռնային Հայաստան» հանգստյան տան ճանապարհների (2 հարկ) միջև, ինչի համար էլ հարմար է ցանկացած տիպի գործունեություն ծավալելու համար: Ձեռնահարկ՝ 60քմ։ Գինը սակարկելի։ Հնարավոր է նաև փոխանակում բնակարանի հետ՝ Երևանում՝ ձեր կողմից հավելավճարով։",Nov-25-2022_00-21,,,,,https://list.am/en/item/15853055,
House,Stone,300 sq.m.,2,6,1,,Major Renovation,400 sq.m.,Tavush › Berd,"$50,000",USD,"Վաճառվում է Երկհարկանի սեփական տուն (300 քմ), ամուր կառուցված, նորոգված, եվրո լուսամուտներով, կոմունալ բոլոր հարմարություններով, մատչելի գնով:Հնարավոր է նաև փոխանակում:",Nov-25-2022_00-21,,,,,https://list.am/en/item/8401206,
House,Stone,83 sq.m.,2,3,1,,Old Renovation,180 sq.m.,Tavush › Dilijan,"$27,000",USD,It is gasified. Permanent water. Price is negotiable. Address Orjonogitsse 42:Translated from Armenian,Nov-25-2022_00-21,,,,,https://list.am/en/item/16874080,
Country House,Stone,200 sq.m.,2,6,2,,Old Renovation,800 sq.m.,Tavush › Dilijan,"$33,000",USD,"23 Atarbekyan street with a beautiful view, with all the communal amenities: Gas, light, water ․ with garage from 2 floors ․Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/16673014,
House,Stone,100 sq.m.,1,5,2,,Cosmetic Renovation,1000 sq.m.,Tavush › Dilijan,"40,000,000 ֏",AMD,"A private house is for sale in the city of Dilijan on Kalinin street. The house also has a basement floor. All utilities are provided: Water supply, electricity supply, gas supply and heating systems are available. Number of rooms: 5. There is also an adjacent plot and a garage.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18009957,
House,Wooden,49 sq.m.,1,2,1,,No Renovation,,Tavush › Ijevan,"$4,800",USD,"(Code 4/16) A small private house is for sale in Ijjan, the area is 49.4 sq. M., and the size of the land is 480 sq. M., it has electricity, the water is near the private house, a beautiful view opens from the area, the price is 4,800 US dollars. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who speak in unison or do not answer calls do not call, we do not work with you. I repeat once, no address is provided by phone.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/15792295,
House,Stone,300 sq.m.,2,5,1,,Cosmetic Renovation,1000 sq.m.,Tavush › Achajur,"$15,000",USD,"In the village of Achajur, in the village of Shatri, a two-story detached house is for rent with a plot of 1000 sq. M., a garage, productive trees, it has a separate garden and arable land, it is provided with all natural living conditions. Will also trade for a car of equal value, preferably a Toyota. For more information callTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18181052,
House,Stone,129 sq.m.,1,5,1,,Partial Renovation,644 sq.m.,Tavush › Ijevan,"$50,000",USD,"(Code 4/40) A private house for sale in Ijevan city, the area is 129.9 sq/m, and the plot size is 644.6 sq/m, it is gasified, has water, electricity, a swimming pool with an area of 4.1 sq/m, 5 Boiler room with an area of 1 sq. M., a kitchen with an area of 26.4 sq. M., also has fruit trees, the price is 50,000 USD. The mansion is also exchanged for an apartment in the city of Ijevan along with the difference in money paid by you. We will consider all offers. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/16895861,
House,Stone,80 sq.m.,3,3,2,1 spot,Major Renovation,17 sq.m.,"Moldovakan street, Dilijan station","39,000,000 ֏",AMD,"3 հարկանի քարե տուն, բնակելի տարածքը 2 հարկ, 80 ք․մ․, ունի 2 սանհանգույց, գազի կաթսա, 2 պատշգամփ, 1-ին հարկում ավտոտնակ, կապիտալ վերանորոգված է։ Վաճառվում է խոհանոցի տեխնիկայի հետ միասին (սառնարան, գազի պլիտա, աման լվացող սարք) ։ Տարածքում առկա է փակ լողավազան, բասկետբոլի խաղահրապարակ, թենիսի կորտ, մարզասրահ, երեխաների խաղահրապարակներ։ Տարածքը վերահսկվում է։Продается 3х этажный каменный дом. Полезная площадь 80 кв. М. , имеет 2 сан узла, газовую колонку, капитально отремонтирован, имеется гараж на 1ом этаже и участок в 17 кв. М. Дом продается вместе с кухонной техникой (холодильник, газовая плита и посудомоечная машина) На участке имеется тренажерный зал, теннисный корт, баскетбольная площадка, закрытый бассейн, игровые площадки. Участок охраняется.",Nov-25-2022_00-21,Available,,,,https://list.am/en/item/17831412,
House,Stone,200 sq.m.,1,4,1,,Euro Renovation,,"26 Commissars Street, Dilijan station",$100,USD,Call Viber for detailsTranslated from Armenian,Nov-25-2022_00-21,,,,,https://list.am/en/item/11657723,
House,Stone,100 sq.m.,2,5,2,Not available,Cosmetic Renovation,700 sq.m.,"Orjonikidze Street, Dilijan station","$45,000",USD,"A house for sale with all amenities in the lap of nature, price negotiableTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/17788103,
